着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),label,race_id
1,4,7,ソーヴァリアント,牡3,56.0,戸崎圭太,2:21.8,,2-2-2-1,37.8,2.3,1.0,500(-4),[東]大竹正博,社台レースホース,510.0,1,202106010805
2,7,13,アルビージャ,牡3,56.0,ルメール,2:22.1,1.3/4,12-13-12-6,36.4,3.4,2.0,520(+6),[東]手塚貴久,サンデーレーシング,200.0,1,202106010805
3,5,9,アインゲーブング,牝3,54.0,津村明秀,2:22.5,2.1/2,3-3-3-3,38.3,9.3,5.0,442(+4),[東]黒岩陽一,サラブレッドクラブ・ラフィアン,130.0,1,202106010805
4,3,6,レナトゥス,牡3,56.0,石橋脩,2:22.6,1/2,16-15-13-6,36.8,35.5,7.0,444(-4),[東]尾関知人,岡田牧雄,77.0,0,202106010805
5,7,14,ジジ,牡3,56.0,武藤雅,2:23.1,3,5-5-4-3,38.8,8.6,4.0,490(+2),[東]田島俊明,林弘之,51.0,0,202106010805
6,4,8,フェアビアンカ,牝3,54.0,Ｍ．デム,2:23.3,1.1/2,1-1-1-2,39.4,5.9,3.0,468(+4),[東]伊藤大士,キャロットファーム,,0,202106010805
7,1,2,ビレイグ,牡3,56.0,北村宏司,2:23.6,1.1/2,7-9-7-6,38.7,107.2,12.0,496(+2),[東]古賀慎明,高瀬正志,,0,202106010805
8,3,5,コーヒーソフト,牝3,54.0,三浦皇成,2:24.3,4,5-5-4-5,40.0,33.1,6.0,424(-6),[東]林徹,保坂和孝,,0,202106010805
9,8,16,オリオンテソーロ,牡3,56.0,江田照男,2:24.7,2,7-7-8-11,39.7,152.7,15.0,490(-4),[東]奥平雅士,了徳寺健二ホールディングス,,0,202106010805
10,2,3,アオイラブリー,牝3,54.0,吉田豊,2:24.8,1/2,12-12-9-10,39.5,58.5,8.0,434(-2),[東]高橋文雅,鈴木照雄,,0,202106010805
11,6,12,エクラサンザレ,牝3,54.0,野中悠太,2:25.0,1.1/4,7-10-15-15,38.9,150.6,14.0,430(0),[東]菊川正達,後藤英成,,0,202106010805
12,2,4,ルリアンシップ,牝3,54.0,石川裕紀,2:25.1,1,12-13-15-12,39.0,92.7,11.0,414(+2),[東]稲垣幸雄,下河辺牧場,,0,202106010805
13,1,1,リチェルカ,牝3,54.0,柴田大知,2:25.8,4,3-3-4-6,41.5,121.2,13.0,468(0),[東]田中清隆,サラブレッドクラブ・ラフィアン,,0,202106010805
14,5,10,コスモウォークライ,牡3,56.0,宮崎北斗,2:25.8,ハナ,15-15-14-13,39.8,304.2,16.0,412(+8),[東]清水英克,ビッグレッドファーム,,0,202106010805
15,8,15,レッドスパロー,牡3,56.0,大野拓弥,2:27.6,大,11-10-10-13,42.2,80.9,10.0,502(+2),[東]水野貴広,野村茂雄,,0,202106010805
16,6,11,エフティレーヴ,牝3,54.0,蛯名正義,2:27.8,1.1/4,7-7-10-15,42.3,67.6,9.0,432(0),[東]金成貴史,吉野英子,,0,202106010805
1,5,9,カレンレベンティス,牡3,56.0,戸崎圭太,2:08.8,,11-9-8-5,36.7,6.4,3.0,464(0),[東]国枝栄,鈴木隆司,600.0,1,202106010806
2,6,11,プレイイットサム,牡3,56.0,三浦皇成,2:09.0,1.1/4,1-1-1-1,37.6,10.4,5.0,524(0),[西]藤岡健一,ゴドルフィン,240.0,1,202106010806
3,1,1,ルージュメサージュ,牝3,54.0,Ｍ．デム,2:09.3,1.1/2,5-5-4-2,37.6,7.6,4.0,472(0),[西]斉藤崇史,東京ホースレーシング,150.0,1,202106010806
4,5,10,グランオフィシエ,牡3,56.0,大野拓弥,2:09.3,アタマ,3-3-3-2,37.7,5.5,2.0,454(0),[東]久保田貴,社台レースホース,90.0,0,202106010806
5,2,3,イモータルソウル,牡3,56.0,丸田恭介,2:09.9,3.1/2,7-7-6-5,37.9,92.8,12.0,480(0),[東]畠山吉宏,ライオンレースホース,60.0,0,202106010806
6,4,7,プレニチュード,牝3,54.0,高倉稜,2:10.3,2,3-3-4-5,38.6,66.8,11.0,448(0),[東]戸田博文,堂守貴志,,0,202106010806
7,1,2,イントゥザワールド,牡3,56.0,大庭和弥,2:10.8,3,12-12-13-12,37.7,208.3,16.0,436(0),[東]高橋文雅,石瀬浩三,,0,202106010806
8,6,12,タガノフラッデル,牝3,54.0,石川裕紀,2:11.0,1.1/4,2-2-2-2,39.5,21.9,7.0,448(0),[西]今野貞一,八木秀之,,0,202106010806
9,7,14,ユペール,牝3,54.0,武藤雅,2:11.0,クビ,8-8-9-10,38.6,41.0,8.0,456(0),[東]久保田貴,Ｇ１レーシング,,0,202106010806
10,3,6,ロンギングユウタ,牡3,56.0,蛯名正義,2:11.6,3.1/2,12-12-9-10,39.1,41.5,9.0,440(0),[東]田中剛,坂本浩一,,0,202106010806
11,8,15,オブザーバー,牝3,54.0,吉田豊,2:11.8,1.1/4,9-11-9-9,39.4,205.3,15.0,390(0),[東]小島茂之,望月雅博,,0,202106010806
12,2,4,ヴァルガス,牡3,56.0,ルメール,2:12.1,2,9-9-12-13,39.3,2.2,1.0,500(0),[東]藤沢和雄,フクキタル,,0,202106010806
13,8,16,カフェテオドーラ,牝3,51.0,小林脩斗,2:12.8,4,5-5-6-8,40.8,153.5,14.0,478(0),[東]古賀慎明,西川光一,,0,202106010806
14,3,5,レッドクラーガ,牡3,56.0,津村明秀,2:14.3,9,15-14-15-14,40.1,55.2,10.0,446(0),[東]大竹正博,東京ホースレーシング,,0,202106010806
15,7,13,アルパインリンクス,牡3,56.0,横山武史,2:15.1,5,14-14-14-14,41.6,14.0,6.0,488(0),[東]奥村武,サンデーレーシング,,0,202106010806
16,4,8,ビバブランコ,牡3,56.0,北村宏司,2:16.0,5,16-16-16-16,39.5,95.1,13.0,464(0),[東]尾関知人,千明牧場,,0,202106010806
1,5,9,アリストテレス,牡4,55.0,ルメール,2:17.9,,6-6-6-4,37.4,2.4,1.0,478(+4),[西]音無秀孝,近藤英子,"6,319.0",1,202106010811
2,2,4,ヴェルトライゼンデ,牡4,55.0,池添謙一,2:18.0,1/2,9-9-7-7,37.3,6.8,3.0,494(+6),[西]池江泰寿,サンデーレーシング,"2,534.0",1,202106010811
3,4,8,ラストドラフト,牡5,56.0,三浦皇成,2:18.0,クビ,9-11-9-8,37.0,14.7,6.0,462(0),[東]戸田博文,社台レースホース,"1,617.0",1,202106010811
4,6,12,ステイフーリッシュ,牡6,56.0,石橋脩,2:18.3,1.1/2,5-4-3-4,38.1,9.5,4.0,464(-2),[西]矢作芳人,社台レースホース,930.0,0,202106010811
5,5,10,モズベッロ,牡5,56.0,北村宏司,2:18.3,ハナ,15-14-12-10,37.1,18.4,7.0,476(+6),[西]森田直行,キャピタル・システム,620.0,0,202106010811
6,8,15,ウインマリリン,牝4,53.0,横山武史,2:18.3,アタマ,2-2-3-4,38.0,10.5,5.0,464(+4),[東]手塚貴久,ウイン,,0,202106010811
7,8,17,ジャコマル,牡7,56.0,田中勝春,2:18.6,1.3/4,3-3-2-1,38.5,102.1,12.0,472(+6),[西]松永幹夫,晴間芳次,,0,202106010811
8,6,11,ナイママ,牡5,56.0,柴田大知,2:18.8,1.1/4,6-7-3-2,38.6,218.2,14.0,482(+8),[東]武藤善則,岡田繁幸,,0,202106010811
9,4,7,タガノディアマンテ,牡5,56.0,津村明秀,2:18.9,クビ,14-14-16-13,37.3,19.9,8.0,476(+2),[西]鮫島一歩,八木良司,,0,202106010811
10,1,2,サンアップルトン,牡5,56.0,柴田善臣,2:19.3,2.1/2,17-16-17-15,37.6,22.5,9.0,486(+12),[東]中野栄治,加藤ステーブル,,0,202106010811
11,1,1,サトノフラッグ,牡4,56.0,戸崎圭太,2:19.5,3/4,16-16-12-8,38.3,4.9,2.0,500(+10),[東]国枝栄,サトミホースカンパニー,,0,202106010811
